Talhão;Código;Latitude;Longitude
JII-03;AL550071Z;-16.746;-53.987
JII-04;AL550072Z;-16.756;-53.984
JII-05;AL550073Z;-16.752;-53.979
JII-06;AL550074Z;-16.762;-53.977
JII-07;AL550075Z;-16.762;-53.964
KR-04;AL551827Z;-12.776;-56.393
KR-05;AL551008Z;-12.76;-56.388
LD-01;AL551152Z;-16.956;-53.617
LD-02;AL551153Z;-16.949;-53.62
LD-03;AL551154Z;-16.943;-53.61
LD-04;AL551155Z;-16.941;-53.62
LD-05;AL551156Z;-16.943;-53.634
LD-06;AL551157Z;-16.937;-53.628
LU-01;AL550995Z;-13.733;-52.567
LU-02;AL550996Z;-13.745;-52.554
LU-03;AL552011Z;-13.763;-52.547
LU-04;AL550998Z;-13.772;-52.563
LU-05;AL553609Z;-13.756;-52.585
LU-06;AL553522Z;-13.765;-52.578
LU-07;AL551001Z;-13.799;-52.56
LU-07;AL549985Z;-13.803;-52.582
LU-08;AL551002Z;-13.811;-52.557
LU-09;AL551003Z;-13.813;-52.588
MA-01;AL552126Z;-13.84;-57.44
MA-01;AL552046Z;-13.839;-57.491
MA-01;AL550079Z;-13.836;-57.485
MA-02;AL552047Z;-13.855;-57.496
MA-02;AL550080Z;-13.852;-57.491
MA-03;AL553624Z;-13.869;-57.502
MA-03;AL550221Z;-13.866;-57.496
MA-04;AL552129Z;-13.84;-57.44
MA-04;AL550081Z;-13.831;-57.475
MA-05;AL550082Z;-13.848;-57.481
MA-06;AL550083Z;-13.864;-57.487
MA-07;AL552132Z;-13.84;-57.44
MA-07;AL550084Z;-13.827;-57.464
MA-08;AL550085Z;-13.843;-57.47
MA-09;AL550086Z;-13.86;-57.477
MA-10;AL552135Z;-13.84;-57.44
MA-10;AL550087Z;-13.822;-57.454
MA-11;AL550088Z;-13.839;-57.46
MA-12;AL550231Z;-13.856;-57.466
MA-13;AL552138Z;-13.84;-57.44
MA-13;AL550089Z;-13.819;-57.444
MA-14;AL552139Z;-13.84;-57.44
MA-14;AL552048Z;-13.836;-57.44
MA-14;AL550090Z;-13.834;-57.447
MA-15;AL552140Z;-13.84;-57.44
MA-15;AL552049Z;-13.846;-57.446
MA-15;AL550091Z;-13.849;-57.453
MB-01;AL550525Z;-16.373;-55.198
MB-02;AL550526Z;-16.365;-55.203
MB-03;AL551159Z;-16.357;-55.207
MI-01;AL554157Z;-16.362;-55.075
MI-01;AL551160Z;-16.359;-55.032
MI-01;AL550527Z;-16.358;-55.021
MI-02;AL554158Z;-16.362;-55.075
MI-02;AL552900Z;-16.357;-55.036
MI-02;AL550528Z;-16.359;-55.05
MI-03;AL554159Z;-16.362;-55.075
MI-03;AL550092Z;-16.364;-55.063
MI-04;AL554160Z;-16.362;-55.075
MI-04;AL550848Z;-16.369;-55.076
MI-05;AL554161Z;-16.362;-55.075
MI-05;AL551162Z;-16.37;-55.059
MI-06;AL554162Z;-16.362;-55.075
MI-06;AL551163Z;-16.378;-55.075
MI-07;AL553723Z;-16.377;-55.092
MI-07;AL551164Z;-16.374;-55.087
MI-08;AL551165Z;-16.38;-55.099
MI-09;AL551166Z;-16.388;-55.095
MI-10;AL551167Z;-16.393;-55.101
MI-11;AL551847Z;-16.382;-55.112
MI-13;AL551169Z;-16.391;-55.122
MI-15;AL551170Z;-16.396;-55.133
MI-18;AL550849Z;-16.399;-55.146
